Radix sort, 10, 1.493e-06
std::sort, 10, 8.92e-07
Radix sort, 25, 3.717e-06
std::sort, 25, 9.72e-07
Radix sort, 100, 5.129e-06
std::sort, 100, 3.105e-06
Radix sort, 250, 2.5017e-05
std::sort, 250, 8.256e-06
Radix sort, 1000, 4.9292e-05
std::sort, 1000, 3.7089e-05
Radix sort, 2500, 0.000407061
std::sort, 2500, 0.000103794
Radix sort, 10000, 0.000617825
std::sort, 10000, 0.000466833
Radix sort, 25000, 0.0031213
std::sort, 25000, 0.00126866
Radix sort, 100000, 0.00918183
std::sort, 100000, 0.00552747
Radix sort, 250000, 0.0333763
std::sort, 250000, 0.014749
Radix sort, 1000000, 0.0884848
std::sort, 1000000, 0.064414
Radix sort, 2500000, 0.371894
std::sort, 2500000, 0.174341
Radix sort, 10000000, 2.51852
std::sort, 10000000, 0.768349
Radix sort, 25000000, 4.19122
std::sort, 25000000, 2.07794
